emotion,dimension_code,dimension_name,left_pole,right_pole,left_pole_score_0_1000,right_pole_score_0_1000,signed_score_m1000_to_p1000,direction_label,direction_code,confidence_0_1,note,model_used,status,error
agitated,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.8,"Primarily an internal state of tension, though often expressed toward others.",google/gemini-3-flash-preview,ok,
alarmed,V,valence,negative,positive,790,210,-580,toward_left_pole,-1,0.95,"Alarm is a negative, unpleasant state of sudden apprehension.",google/gemini-3-flash-preview,ok,
alarmed,A,arousal,low_activation,high_activation,160,840,680,toward_right_pole,1,0.98,High physiological activation and vigilance in response to a threat.,google/gemini-3-flash-preview,ok,
alarmed,C,control,low_control,high_control,680,320,-360,toward_left_pole,-1,0.85,Implies being startled or overwhelmed by an external stimulus.,google/gemini-3-flash-preview,ok,
alarmed,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,220,780,560,toward_right_pole,1,0.9,Triggered by unexpected events or sudden realization of danger.,google/gemini-3-flash-preview,ok,
alarmed,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.75,"Primarily a self-preservation response, though can be socially triggered.",google/gemini-3-flash-preview,ok,
alienated,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,Alienation is fundamentally unpleasant and associated with negative affect.,google/gemini-3-flash-preview,ok,
alienated,A,arousal,low_activation,high_activation,680,320,-360,toward_left_pole,-1,0.85,"Typically characterized by low-energy withdrawal or a numb, dejected state.",google/gemini-3-flash-preview,ok,
alienated,C,control,low_control,high_control,790,210,-580,toward_left_pole,-1,0.9,Involves a sense of powerlessness and lack of agency over social connections.,google/gemini-3-flash-preview,ok,
alienated,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,360,640,280,toward_right_pole,1,0.8,Often involves confusion regarding social norms or unpredictable social exclusion.,google/gemini-3-flash-preview,ok,
alienated,S,social_orientation,self_oriented,other_oriented,120,880,760,toward_right_pole,1,0.9,Inherently social as it describes a perceived distance between self and others.,google/gemini-3-flash-preview,ok,
amazed,V,valence,negative,positive,180,820,640,toward_right_pole,1,0.95,Generally associated with positive wonder and pleasant surprise.,google/gemini-3-flash-preview,ok,
amazed,A,arousal,low_activation,high_activation,260,740,480,toward_right_pole,1,0.9,Involves high physiological activation and heightened attention.,google/gemini-3-flash-preview,ok,
amazed,C,control,low_control,high_control,590,410,-180,toward_left_pole,-1,0.85,"Often involves being overwhelmed by an external stimulus, reducing agency.",google/gemini-3-flash-preview,ok,
amazed,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,120,880,760,toward_right_pole,1,0.9,"Triggered by unexpected, novel, or schema-violating information.",google/gemini-3-flash-preview,ok,
amazed,S,social_orientation,self_oriented,other_oriented,450,550,100,toward_right_pole,1,0.7,Can be self-reflective or directed toward external social achievements.,google/gemini-3-flash-preview,ok,
amorous,V,valence,negative,positive,160,840,680,toward_right_pole,1,0.95,Associated with pleasant feelings of love and desire.,google/gemini-3-flash-preview,ok,
amorous,A,arousal,low_activation,high_activation,320,680,360,toward_right_pole,1,0.9,Involves heightened physiological attraction and passion.,google/gemini-3-flash-preview,ok,
amorous,C,control,low_control,high_control,480,520,40,balanced,0,0.8,Reflects a balance between intentional pursuit and being swept away.,google/gemini-3-flash-preview,ok,
amorous,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,590,410,-180,toward_left_pole,-1,0.85,Often directed toward a known object of affection with clear intent.,google/gemini-3-flash-preview,ok,
amorous,S,social_orientation,self_oriented,other_oriented,90,910,820,toward_right_pole,1,0.98,Inherently directed toward another person in a relational context.,google/gemini-3-flash-preview,ok,
amused,V,valence,negative,positive,180,820,640,toward_right_pole,1,0.95,"Amusement is a distinctly positive, pleasant affective state associated with humor.",google/gemini-3-flash-preview,ok,
amused,A,arousal,low_activation,high_activation,520,480,-40,balanced,0,0.85,"It involves moderate activation, often characterized by lightheartedness rather than high intensity.",google/gemini-3-flash-preview,ok,
amused,C,control,low_control,high_control,390,610,220,toward_right_pole,1,0.8,The individual typically feels safe and in control of their environment while being entertained.,google/gemini-3-flash-preview,ok,
amused,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,580,420,-160,toward_left_pole,-1,0.75,"Often triggered by unexpected punchlines, yet the context is usually safe and predictable.",google/gemini-3-flash-preview,ok,
amused,S,social_orientation,self_oriented,other_oriented,450,550,100,toward_right_pole,1,0.7,"Frequently a social emotion shared with others, though it can be experienced individually.",google/gemini-3-flash-preview,ok,
angry,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,"Anger is fundamentally an aversive, unpleasant affective state.",google/gemini-3-flash-preview,ok,
angry,A,arousal,low_activation,high_activation,180,820,640,toward_right_pole,1,0.98,Characterized by high physiological activation and readiness for action.,google/gemini-3-flash-preview,ok,
angry,C,control,low_control,high_control,350,650,300,toward_right_pole,1,0.9,Associated with high power and a sense of agency to change the situation.,google/gemini-3-flash-preview,ok,
angry,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,790,210,-580,toward_left_pole,-1,0.85,Typically follows a certain appraisal of an offense or goal obstruction.,google/gemini-3-flash-preview,ok,
angry,S,social_orientation,self_oriented,other_oriented,260,740,480,toward_right_pole,1,0.88,Usually directed toward an external agent or social entity.,google/gemini-3-flash-preview,ok,
anguished,V,valence,negative,positive,958,42,-916,toward_left_pole,-1,0.98,Represents extreme mental or physical pain and deep distress.,google/gemini-3-flash-preview,ok,
anguished,A,arousal,low_activation,high_activation,220,780,560,toward_right_pole,1,0.92,Involves high-intensity emotional agitation and internal turmoil.,google/gemini-3-flash-preview,ok,
anguished,C,control,low_control,high_control,885,115,-770,toward_left_pole,-1,0.95,Characterized by a profound sense of helplessness and lack of agency.,google/gemini-3-flash-preview,ok,
anguished,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,360,640,280,toward_right_pole,1,0.85,"Often stems from unpredictable loss or overwhelming, chaotic suffering.",google/gemini-3-flash-preview,ok,
anguished,S,social_orientation,self_oriented,other_oriented,690,310,-380,toward_left_pole,-1,0.8,"Primarily an internal state of suffering, though often expressed to others.",google/gemini-3-flash-preview,ok,
annoyed,V,valence,negative,positive,720,280,-440,toward_left_pole,-1,0.95,"Annoyance is a mild form of anger, characterized by unpleasantness and irritation.",google/gemini-3-flash-preview,ok,
annoyed,A,arousal,low_activation,high_activation,420,580,160,toward_right_pole,1,0.9,It involves moderate physiological activation and mental tension.,google/gemini-3-flash-preview,ok,
annoyed,C,control,low_control,high_control,580,420,-160,toward_left_pole,-1,0.85,Often stems from external obstacles that the individual feels limited power to change immediately.,google/gemini-3-flash-preview,ok,
annoyed,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,690,310,-380,toward_left_pole,-1,0.8,"Usually triggered by a known, predictable, but unwanted stimulus.",google/gemini-3-flash-preview,ok,
annoyed,S,social_orientation,self_oriented,other_oriented,360,640,280,toward_right_pole,1,0.85,Typically directed toward an external agent or social interaction that violates expectations.,google/gemini-3-flash-preview,ok,
antagonistic,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,"Characterized by hostility and active opposition, which is inherently unpleasant.",google/gemini-3-flash-preview,ok,
antagonistic,A,arousal,low_activation,high_activation,280,720,440,toward_right_pole,1,0.9,Involves high physiological activation and readiness for conflict.,google/gemini-3-flash-preview,ok,
antagonistic,C,control,low_control,high_control,360,640,280,toward_right_pole,1,0.85,Reflects an assertive stance and a sense of agency in opposing others.,google/gemini-3-flash-preview,ok,
antagonistic,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,690,310,-380,toward_left_pole,-1,0.8,"Usually stems from a clear, certain intent to oppose a specific target.",google/gemini-3-flash-preview,ok,
antagonistic,S,social_orientation,self_oriented,other_oriented,110,890,780,toward_right_pole,1,0.95,Inherently relational as it requires an object or person to oppose.,google/gemini-3-flash-preview,ok,
anxious,V,valence,negative,positive,790,210,-580,toward_left_pole,-1,0.95,"Anxiety is fundamentally an unpleasant, aversive emotional state.",google/gemini-3-flash-preview,ok,
anxious,A,arousal,low_activation,high_activation,260,740,480,toward_right_pole,1,0.95,"Characterized by high physiological arousal, tension, and hypervigilance.",google/gemini-3-flash-preview,ok,
anxious,C,control,low_control,high_control,720,280,-440,toward_left_pole,-1,0.9,Involves a perceived lack of control over potential future threats.,google/gemini-3-flash-preview,ok,
anxious,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,110,890,780,toward_right_pole,1,0.95,Driven by ambiguity and the unpredictability of future outcomes.,google/gemini-3-flash-preview,ok,
anxious,S,social_orientation,self_oriented,other_oriented,580,420,-160,toward_left_pole,-1,0.85,Primarily a self-focused state of internal distress and survival.,google/gemini-3-flash-preview,ok,
apprehensive,V,valence,negative,positive,680,320,-360,toward_left_pole,-1,0.95,Characterized by a negative hedonic tone and unease.,google/gemini-3-flash-preview,ok,
apprehensive,A,arousal,low_activation,high_activation,390,610,220,toward_right_pole,1,0.9,Involves moderate physiological tension and heightened vigilance.,google/gemini-3-flash-preview,ok,
apprehensive,C,control,low_control,high_control,620,380,-240,toward_left_pole,-1,0.85,Reflects a perceived lack of influence over a future event.,google/gemini-3-flash-preview,ok,
apprehensive,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,160,840,680,toward_right_pole,1,0.95,Rooted in the unpredictability of a potential threat.,google/gemini-3-flash-preview,ok,
apprehensive,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.8,"Primarily an internal state of worry, though often triggered by social contexts.",google/gemini-3-flash-preview,ok,
ardent,V,valence,negative,positive,180,820,640,toward_right_pole,1,0.9,Characterized by intense positive passion and enthusiastic support.,google/gemini-3-flash-preview,ok,
ardent,A,arousal,low_activation,high_activation,120,880,760,toward_right_pole,1,0.95,Reflects high physiological and mental activation through burning zeal.,google/gemini-3-flash-preview,ok,
ardent,C,control,low_control,high_control,260,740,480,toward_right_pole,1,0.85,Implies strong internal drive and agency toward a specific goal.,google/gemini-3-flash-preview,ok,
ardent,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,820,180,-640,toward_left_pole,-1,0.8,"Usually involves a firm, certain commitment rather than hesitation.",google/gemini-3-flash-preview,ok,
ardent,S,social_orientation,self_oriented,other_oriented,390,610,220,toward_right_pole,1,0.75,"Often directed toward a cause, person, or external ideal.",google/gemini-3-flash-preview,ok,
aroused,V,valence,negative,positive,385,615,230,toward_right_pole,1,0.85,Generally leans positive but can be associated with negative high-energy states.,google/gemini-3-flash-preview,ok,
aroused,A,arousal,low_activation,high_activation,80,920,840,toward_right_pole,1,0.98,The term is a direct synonym for high physiological and mental activation.,google/gemini-3-flash-preview,ok,
aroused,C,control,low_control,high_control,420,580,160,toward_right_pole,1,0.8,Implies a level of active engagement and readiness to act.,google/gemini-3-flash-preview,ok,
aroused,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,550,450,-100,toward_left_pole,-1,0.75,"Often triggered by specific stimuli, though the intensity can feel unpredictable.",google/gemini-3-flash-preview,ok,
aroused,S,social_orientation,self_oriented,other_oriented,500,500,0,balanced,0,0.7,"Primarily an internal physiological state, neutral regarding social direction.",google/gemini-3-flash-preview,ok,
ashamed,V,valence,negative,positive,880,120,-760,toward_left_pole,-1,0.95,Highly unpleasant state involving self-devaluation and distress.,google/gemini-3-flash-preview,ok,
ashamed,A,arousal,low_activation,high_activation,420,580,160,toward_right_pole,1,0.85,Moderate activation often involving physiological heat or blushing.,google/gemini-3-flash-preview,ok,
ashamed,C,control,low_control,high_control,820,180,-640,toward_left_pole,-1,0.9,Low agency characterized by a desire to hide or disappear.,google/gemini-3-flash-preview,ok,
ashamed,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,690,310,-380,toward_left_pole,-1,0.8,Usually follows a clear violation of social or personal standards.,google/gemini-3-flash-preview,ok,
ashamed,S,social_orientation,self_oriented,other_oriented,160,840,680,toward_right_pole,1,0.9,Deeply rooted in social evaluation and perceived judgment by others.,google/gemini-3-flash-preview,ok,
astonished,V,valence,negative,positive,320,680,360,toward_right_pole,1,0.85,Generally positive but can be neutral depending on the source of surprise.,google/gemini-3-flash-preview,ok,
astonished,A,arousal,low_activation,high_activation,180,820,640,toward_right_pole,1,0.95,High physiological activation and mental alertness due to sudden impact.,google/gemini-3-flash-preview,ok,
astonished,C,control,low_control,high_control,690,310,-380,toward_left_pole,-1,0.8,Low agency as the individual is overwhelmed by external stimuli.,google/gemini-3-flash-preview,ok,
astonished,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,60,940,880,toward_right_pole,1,0.95,Highly unpredictable and unexpected by definition.,google/gemini-3-flash-preview,ok,
astonished,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.7,"Primarily an internal cognitive shock, though often triggered by external events.",google/gemini-3-flash-preview,ok,
attached,V,valence,negative,positive,260,740,480,toward_right_pole,1,0.9,Generally associated with positive bonding and affection.,google/gemini-3-flash-preview,ok,
attached,A,arousal,low_activation,high_activation,620,380,-240,toward_left_pole,-1,0.85,"Typically a calm, stable state of connection rather than high energy.",google/gemini-3-flash-preview,ok,
attached,C,control,low_control,high_control,480,520,40,balanced,0,0.8,"Moderate agency, though dependency can slightly reduce perceived control.",google/gemini-3-flash-preview,ok,
attached,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,790,210,-580,toward_left_pole,-1,0.85,"Implies a predictable, established relationship or bond.",google/gemini-3-flash-preview,ok,
attached,S,social_orientation,self_oriented,other_oriented,110,890,780,toward_right_pole,1,0.95,Inherently involves a connection to another person or object.,google/gemini-3-flash-preview,ok,
awestruck,V,valence,negative,positive,180,820,640,toward_right_pole,1,0.9,"Awe is generally a highly positive, transcendent experience of beauty or vastness.",google/gemini-3-flash-preview,ok,
awestruck,A,arousal,low_activation,high_activation,260,740,480,toward_right_pole,1,0.85,Involves significant physiological activation and heightened mental focus.,google/gemini-3-flash-preview,ok,
awestruck,C,control,low_control,high_control,690,310,-380,toward_left_pole,-1,0.8,The individual feels small or overwhelmed by a power greater than themselves.,google/gemini-3-flash-preview,ok,
awestruck,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,120,880,760,toward_right_pole,1,0.9,Triggered by vastness that defies current mental schemas and expectations.,google/gemini-3-flash-preview,ok,
awestruck,S,social_orientation,self_oriented,other_oriented,350,650,300,toward_right_pole,1,0.75,Often involves a sense of connection to the universe or a larger collective.,google/gemini-3-flash-preview,ok,
baffled,V,valence,negative,positive,590,410,-180,toward_left_pole,-1,0.85,"Slightly negative due to the frustration of not understanding, though often neutral.",google/gemini-3-flash-preview,ok,
baffled,A,arousal,low_activation,high_activation,420,580,160,toward_right_pole,1,0.8,Involves moderate mental activation and cognitive effort to resolve a puzzle.,google/gemini-3-flash-preview,ok,
baffled,C,control,low_control,high_control,780,220,-560,toward_left_pole,-1,0.9,Reflects a lack of mastery or agency over the information being processed.,google/gemini-3-flash-preview,ok,
baffled,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,60,940,880,toward_right_pole,1,0.95,Defined by a high degree of unpredictability and a lack of clarity.,google/gemini-3-flash-preview,ok,
baffled,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.75,"Primarily an internal cognitive state, though often triggered by others' actions.",google/gemini-3-flash-preview,ok,
bashful,V,valence,negative,positive,420,580,160,toward_right_pole,1,0.85,"Generally perceived as a mildly pleasant, sweet, or innocent form of shyness.",google/gemini-3-flash-preview,ok,
bashful,A,arousal,low_activation,high_activation,580,420,-160,toward_left_pole,-1,0.8,Involves a degree of physiological inhibition and quietness rather than high energy.,google/gemini-3-flash-preview,ok,
bashful,C,control,low_control,high_control,690,310,-380,toward_left_pole,-1,0.9,Characterized by a lack of dominance and a tendency to withdraw or defer.,google/gemini-3-flash-preview,ok,
bashful,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,360,640,280,toward_right_pole,1,0.75,Often stems from uncertainty regarding social evaluation or how to respond.,google/gemini-3-flash-preview,ok,
bashful,S,social_orientation,self_oriented,other_oriented,210,790,580,toward_right_pole,1,0.95,"Inherently social, occurring specifically in response to the presence or gaze of others.",google/gemini-3-flash-preview,ok,
bereaved,V,valence,negative,positive,958,42,-916,toward_left_pole,-1,0.98,Represents profound grief and the painful loss of a loved one.,google/gemini-3-flash-preview,ok,
bereaved,A,arousal,low_activation,high_activation,390,610,220,toward_right_pole,1,0.85,Involves high psychological distress and agitation despite potential physical lethargy.,google/gemini-3-flash-preview,ok,
bereaved,C,control,low_control,high_control,885,115,-770,toward_left_pole,-1,0.92,Characterized by a sense of helplessness and lack of agency over death.,google/gemini-3-flash-preview,ok,
bereaved,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,220,780,560,toward_right_pole,1,0.88,Involves significant uncertainty regarding life without the deceased and existential instability.,google/gemini-3-flash-preview,ok,
bereaved,S,social_orientation,self_oriented,other_oriented,160,840,680,toward_right_pole,1,0.9,Inherently social as it stems from the severance of a relationship with another.,google/gemini-3-flash-preview,ok,
betrayed,V,valence,negative,positive,885,115,-770,toward_left_pole,-1,0.95,Deeply unpleasant experience involving emotional pain and hurt.,google/gemini-3-flash-preview,ok,
betrayed,A,arousal,low_activation,high_activation,280,720,440,toward_right_pole,1,0.88,High physiological activation often involving anger or shock.,google/gemini-3-flash-preview,ok,
betrayed,C,control,low_control,high_control,820,180,-640,toward_left_pole,-1,0.9,Feeling victimized and powerless against another's deceptive actions.,google/gemini-3-flash-preview,ok,
betrayed,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,160,840,680,toward_right_pole,1,0.85,A violation of expectations and a breakdown of predictable trust.,google/gemini-3-flash-preview,ok,
betrayed,S,social_orientation,self_oriented,other_oriented,90,910,820,toward_right_pole,1,0.92,"Inherently interpersonal, focusing on the actions of another person.",google/gemini-3-flash-preview,ok,
bitter,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,Characterized by deep resentment and unpleasant feelings of being wronged.,google/gemini-3-flash-preview,ok,
bitter,A,arousal,low_activation,high_activation,580,420,-160,toward_left_pole,-1,0.85,"A simmering, low-to-moderate intensity state rather than explosive anger.",google/gemini-3-flash-preview,ok,
bitter,C,control,low_control,high_control,790,210,-580,toward_left_pole,-1,0.9,Involves a sense of powerlessness or being a victim of unfair circumstances.,google/gemini-3-flash-preview,ok,
bitter,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,850,150,-700,toward_left_pole,-1,0.8,"Usually stems from a known, past event that is certain and fixed.",google/gemini-3-flash-preview,ok,
bitter,S,social_orientation,self_oriented,other_oriented,260,740,480,toward_right_pole,1,0.85,Typically directed toward others perceived as responsible for one's misfortune.,google/gemini-3-flash-preview,ok,
blissful,V,valence,negative,positive,35,965,930,toward_right_pole,1,0.98,Represents a state of supreme happiness and extreme positive affect.,google/gemini-3-flash-preview,ok,
blissful,A,arousal,low_activation,high_activation,680,320,-360,toward_left_pole,-1,0.92,"Characterized by calm, serene contentment rather than high-energy excitement.",google/gemini-3-flash-preview,ok,
blissful,C,control,low_control,high_control,290,710,420,toward_right_pole,1,0.85,Reflects a high sense of inner peace and mastery over one's emotional state.,google/gemini-3-flash-preview,ok,
blissful,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,860,140,-720,toward_left_pole,-1,0.88,Associated with a sense of complete security and predictable harmony.,google/gemini-3-flash-preview,ok,
blissful,S,social_orientation,self_oriented,other_oriented,590,410,-180,toward_left_pole,-1,0.82,"Primarily an internal state of being, though it can be shared.",google/gemini-3-flash-preview,ok,
blue,V,valence,negative,positive,720,280,-440,toward_left_pole,-1,0.95,"Associated with sadness, melancholy, and low pleasantness.",google/gemini-3-flash-preview,ok,
blue,A,arousal,low_activation,high_activation,790,210,-580,toward_left_pole,-1,0.9,"Characterized by lethargy, low energy, and physiological deactivation.",google/gemini-3-flash-preview,ok,
blue,C,control,low_control,high_control,660,340,-320,toward_left_pole,-1,0.85,Often involves a sense of helplessness or being overwhelmed by mood.,google/gemini-3-flash-preview,ok,
blue,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,580,420,-160,toward_left_pole,-1,0.8,"Typically a stable, predictable state of low mood rather than a surprise.",google/gemini-3-flash-preview,ok,
blue,S,social_orientation,self_oriented,other_oriented,690,310,-380,toward_left_pole,-1,0.8,"Primarily an internal, self-focused state of reflection or withdrawal.",google/gemini-3-flash-preview,ok,
buoyant,V,valence,negative,positive,120,880,760,toward_right_pole,1,0.95,Reflects a high degree of cheerfulness and positive affect.,google/gemini-3-flash-preview,ok,
buoyant,A,arousal,low_activation,high_activation,380,620,240,toward_right_pole,1,0.9,"Indicates a light, energetic state above baseline but not frantic.",google/gemini-3-flash-preview,ok,
buoyant,C,control,low_control,high_control,260,740,480,toward_right_pole,1,0.85,Suggests a sense of resilience and being on top of things.,google/gemini-3-flash-preview,ok,
buoyant,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,790,210,-580,toward_left_pole,-1,0.8,"Implies a stable, optimistic outlook with low perceived threat.",google/gemini-3-flash-preview,ok,
buoyant,S,social_orientation,self_oriented,other_oriented,550,450,-100,toward_left_pole,-1,0.75,"Primarily an internal state of lightness, though often expressed socially.",google/gemini-3-flash-preview,ok,
calm,V,valence,negative,positive,220,780,560,toward_right_pole,1,0.95,"Calmness is consistently rated as a pleasant, positive affective state.",google/gemini-3-flash-preview,ok,
calm,A,arousal,low_activation,high_activation,880,120,-760,toward_left_pole,-1,0.98,Characterized by low physiological activation and mental stillness.,google/gemini-3-flash-preview,ok,
calm,C,control,low_control,high_control,350,650,300,toward_right_pole,1,0.85,Involves a sense of stability and moderate self-agency over one's state.,google/gemini-3-flash-preview,ok,
calm,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,850,150,-700,toward_left_pole,-1,0.9,Associated with high predictability and a lack of surprising or threatening stimuli.,google/gemini-3-flash-preview,ok,
calm,S,social_orientation,self_oriented,other_oriented,700,300,-400,toward_left_pole,-1,0.8,"Primarily an internal state of equilibrium, though it can facilitate social harmony.",google/gemini-3-flash-preview,ok,
captivated,V,valence,negative,positive,160,840,680,toward_right_pole,1,0.95,Generally associated with positive fascination and aesthetic pleasure.,google/gemini-3-flash-preview,ok,
captivated,A,arousal,low_activation,high_activation,320,680,360,toward_right_pole,1,0.9,Involves high mental focus and heightened physiological attention.,google/gemini-3-flash-preview,ok,
captivated,C,control,low_control,high_control,680,320,-360,toward_left_pole,-1,0.85,Implies being held or mastered by an external stimulus.,google/gemini-3-flash-preview,ok,
captivated,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,590,410,-180,toward_left_pole,-1,0.8,Often triggered by novel but coherent and absorbing information.,google/gemini-3-flash-preview,ok,
captivated,S,social_orientation,self_oriented,other_oriented,280,720,440,toward_right_pole,1,0.85,"Typically directed toward an external object, person, or performance.",google/gemini-3-flash-preview,ok,
